date,cases,deaths
11/01/2020,1309,10
11/02/2020,992,9
11/03/2020,1519,8
11/04/2020,1331,11
11/05/2020,1930,12
11/06/2020,2006,13
11/07/2020,2422,14
11/08/2020,2037,13
11/09/2020,1988,18
11/10/2020,2757,28
11/11/2020,3089,16
11/12/2020,3135,23
11/13/2020,3575,19
